Rcdate,Track,Rcno,Rctime,Horse,Tab
14.08.2015,Canberra,1,12:28 PM,Sand Dune,2
14.08.2015,Canberra,1,12:28 PM,Sheezsingle,4
14.08.2015,Canberra,1,12:28 PM,Goldclip,5
14.08.2015,Canberra,1,12:28 PM,Beau Tirage,1
14.08.2015,Canberra,1,12:28 PM,Mugga Malley,7
14.08.2015,Canberra,1,12:28 PM,Hariir,3
14.08.2015,Canberra,1,12:28 PM,Star Of Bardell,6
14.08.2015,Canberra,2,1:03 PM,We Are Young,4
14.08.2015,Canberra,2,1:03 PM,Destined To Win,6
14.08.2015,Canberra,2,1:03 PM,Accomp'ny Me,1
14.08.2015,Canberra,2,1:03 PM,Itchyzariz,7
14.08.2015,Canberra,2,1:03 PM,Marquee,2
14.08.2015,Canberra,2,1:03 PM,Two Noughty,5
14.08.2015,Canberra,2,1:03 PM,Definite Time,3
14.08.2015,Canberra,3,1:38 PM,Ward,4
14.08.2015,Canberra,3,1:38 PM,Scene Of The Crime,3
14.08.2015,Canberra,3,1:38 PM,Tea Clipper,2
14.08.2015,Canberra,3,1:38 PM,It's A Virtue,1
14.08.2015,Canberra,3,1:38 PM,More Beautiful,5
14.08.2015,Canberra,3,1:38 PM,Royal Amati,7
14.08.2015,Canberra,3,1:38 PM,Purr Plan,6
14.08.2015,Canberra,4,2:13 PM,Get Ya Kicks,3
14.08.2015,Canberra,4,2:13 PM,Liam Da Torio,8
14.08.2015,Canberra,4,2:13 PM,Southern Gamble,5
14.08.2015,Canberra,4,2:13 PM,Little Miss Chelsy,2
14.08.2015,Canberra,4,2:13 PM,Phoebe Irene,6
14.08.2015,Canberra,4,2:13 PM,Refaeli,4
14.08.2015,Canberra,4,2:13 PM,Al Canyon,1
14.08.2015,Canberra,4,2:13 PM,Dream Dream Dream,7
14.08.2015,Canberra,5,2:48 PM,Aesop,12
14.08.2015,Canberra,5,2:48 PM,Arroyo Grande,4
14.08.2015,Canberra,5,2:48 PM,Deals 'N' Diamonds,1
14.08.2015,Canberra,5,2:48 PM,Itchy Brother,7
14.08.2015,Canberra,5,2:48 PM,Kardomah Boy,9
14.08.2015,Canberra,5,2:48 PM,Sandy,6
14.08.2015,Canberra,5,2:48 PM,Say You Didn'tdoit,10
14.08.2015,Canberra,5,2:48 PM,Smokin' Star,3
14.08.2015,Canberra,5,2:48 PM,Snapshot Dane,11
14.08.2015,Canberra,5,2:48 PM,The Villain,8
14.08.2015,Canberra,5,2:48 PM,Muntij,2
14.08.2015,Canberra,5,2:48 PM,Circle Game,5
14.08.2015,Canberra,6,3:23 PM,Aeolus,2
14.08.2015,Canberra,6,3:23 PM,Agamemnon,7
14.08.2015,Canberra,6,3:23 PM,Agrionius,11
14.08.2015,Canberra,6,3:23 PM,Planet Earth,6
14.08.2015,Canberra,6,3:23 PM,Pradier,9
14.08.2015,Canberra,6,3:23 PM,Tales Of Hennessy,10
14.08.2015,Canberra,6,3:23 PM,Tumut River Cod,4
14.08.2015,Canberra,6,3:23 PM,Zodiac,3
14.08.2015,Canberra,6,3:23 PM,Juste Abitofmagic,12
14.08.2015,Canberra,6,3:23 PM,Premier's Gift,5
14.08.2015,Canberra,6,3:23 PM,Sayrien,8
14.08.2015,Canberra,6,3:23 PM,Sundaymiss,1
14.08.2015,Canberra,7,4:00 PM,Rush To Judgement,9
14.08.2015,Canberra,7,4:00 PM,Searaven,7
14.08.2015,Canberra,7,4:00 PM,Blue Carlou,8
14.08.2015,Canberra,7,4:00 PM,Go Get 'Em,10
14.08.2015,Canberra,7,4:00 PM,Changing Notes,6
14.08.2015,Canberra,7,4:00 PM,Lay Down The Law,3
14.08.2015,Canberra,7,4:00 PM,Kiss In The Dark,5
14.08.2015,Canberra,7,4:00 PM,New Vogue,1
14.08.2015,Canberra,7,4:00 PM,Phar Way,2
14.08.2015,Canberra,7,4:00 PM,Purr Plan,4
14.08.2015,Canberra,8,4:40 PM,Cod Rock,13
14.08.2015,Canberra,8,4:40 PM,Chosen Time,8
14.08.2015,Canberra,8,4:40 PM,The Tar Man,7
14.08.2015,Canberra,8,4:40 PM,Law Of The Land,5
14.08.2015,Canberra,8,4:40 PM,Caldane,14
14.08.2015,Canberra,8,4:40 PM,Balametalica,6
14.08.2015,Canberra,8,4:40 PM,Legal Tender,11
14.08.2015,Canberra,8,4:40 PM,Kingstons Kid,10
14.08.2015,Canberra,8,4:40 PM,Muchacho,12
14.08.2015,Canberra,8,4:40 PM,Jolly Good,4
14.08.2015,Canberra,8,4:40 PM,Tenacity Lad,2
14.08.2015,Canberra,8,4:40 PM,Alabasta Bay,1
14.08.2015,Canberra,8,4:40 PM,Bonzar,9
14.08.2015,Canberra,8,4:40 PM,Damysus,3
14.08.2015,Geelong,1,12:38 PM,Aurelius Hero,5
14.08.2015,Geelong,1,12:38 PM,Cash Dispenser,9
14.08.2015,Geelong,1,12:38 PM,Double Be,8
14.08.2015,Geelong,1,12:38 PM,Easy As Pye,1
14.08.2015,Geelong,1,12:38 PM,Hezagoa,7
14.08.2015,Geelong,1,12:38 PM,Monsieur De Lago,11
14.08.2015,Geelong,1,12:38 PM,Ashkali,4
14.08.2015,Geelong,1,12:38 PM,Bellatess,12
14.08.2015,Geelong,1,12:38 PM,Viva La Cent,6
14.08.2015,Geelong,1,12:38 PM,Mr Bobbi,2
14.08.2015,Geelong,1,12:38 PM,Your Say,3
14.08.2015,Geelong,1,12:38 PM,Air Apparent,10
14.08.2015,Geelong,2,1:13 PM,Cruisin,14
14.08.2015,Geelong,2,1:13 PM,Kiwi Dreamer,2
14.08.2015,Geelong,2,1:13 PM,Revelry,10
14.08.2015,Geelong,2,1:13 PM,Comprehensive,9
14.08.2015,Geelong,2,1:13 PM,Desert Queen,3
14.08.2015,Geelong,2,1:13 PM,New Coupe,13
14.08.2015,Geelong,2,1:13 PM,Nom De Fille,8
14.08.2015,Geelong,2,1:13 PM,Parting Gift,5
14.08.2015,Geelong,2,1:13 PM,Rainbow Dreaming,1
14.08.2015,Geelong,2,1:13 PM,Retton,6
14.08.2015,Geelong,2,1:13 PM,Teebox,7
14.08.2015,Geelong,2,1:13 PM,Titanicca,15
14.08.2015,Geelong,2,1:13 PM,Cheers Al,16
14.08.2015,Geelong,2,1:13 PM,Bar Date,12
14.08.2015,Geelong,2,1:13 PM,Pelirrojo,4
14.08.2015,Geelong,2,1:13 PM,Defiable,11
14.08.2015,Geelong,3,1:48 PM,Bel Rosso,1
14.08.2015,Geelong,3,1:48 PM,Faithful Act,12
14.08.2015,Geelong,3,1:48 PM,Kick The Habit,3
14.08.2015,Geelong,3,1:48 PM,Bomber Miss,5
14.08.2015,Geelong,3,1:48 PM,Countess Marinov,9
14.08.2015,Geelong,3,1:48 PM,Francesca Belle,4
14.08.2015,Geelong,3,1:48 PM,Quick Kiss,10
14.08.2015,Geelong,3,1:48 PM,Rangry,7
14.08.2015,Geelong,3,1:48 PM,Rubymay,2
14.08.2015,Geelong,3,1:48 PM,Zupabelle,8
14.08.2015,Geelong,3,1:48 PM,Keen Array,6
14.08.2015,Geelong,3,1:48 PM,Liquido,13
14.08.2015,Geelong,3,1:48 PM,Lonhgeline,11
14.08.2015,Geelong,4,2:23 PM,Almaviv,1
14.08.2015,Geelong,4,2:23 PM,Bellarine Flyer,4
14.08.2015,Geelong,4,2:23 PM,Commanding Dash,2
14.08.2015,Geelong,4,2:23 PM,Hors La Loi,6
14.08.2015,Geelong,4,2:23 PM,Miss Magnifique,7
14.08.2015,Geelong,4,2:23 PM,Prospect's Rise,9
14.08.2015,Geelong,4,2:23 PM,Real Desire,11
14.08.2015,Geelong,4,2:23 PM,She's A Scallywag,14
14.08.2015,Geelong,4,2:23 PM,Tillzale,8
14.08.2015,Geelong,4,2:23 PM,Vonnida,15
14.08.2015,Geelong,4,2:23 PM,Chabaud,13
14.08.2015,Geelong,4,2:23 PM,Euston Road,10
14.08.2015,Geelong,4,2:23 PM,Biancon Gold,5
14.08.2015,Geelong,4,2:23 PM,So You Pink,3
14.08.2015,Geelong,4,2:23 PM,Change Course,12
14.08.2015,Geelong,5,2:58 PM,Mister Moneypenny,7
14.08.2015,Geelong,5,2:58 PM,Nordic Duke,2
14.08.2015,Geelong,5,2:58 PM,Laconic Lad,3
14.08.2015,Geelong,5,2:58 PM,Twin Tea Bags,5
14.08.2015,Geelong,5,2:58 PM,Black Chevalier,4
14.08.2015,Geelong,5,2:58 PM,Mister Cool,6
14.08.2015,Geelong,5,2:58 PM,Salisbury,1
14.08.2015,Geelong,6,3:33 PM,Count The Interest,6
14.08.2015,Geelong,6,3:33 PM,Lonhmacc,8
14.08.2015,Geelong,6,3:33 PM,Giresun,9
14.08.2015,Geelong,6,3:33 PM,Holy Heart,5
14.08.2015,Geelong,6,3:33 PM,Osteria,4
14.08.2015,Geelong,6,3:33 PM,Kayjay's Joy,7
14.08.2015,Geelong,6,3:33 PM,Totolo,1
14.08.2015,Geelong,6,3:33 PM,Futures,2
14.08.2015,Geelong,6,3:33 PM,Laguna Vista,3
14.08.2015,Geelong,7,4:10 PM,Paaratte Pat,14
14.08.2015,Geelong,7,4:10 PM,A Littlebitofclass,2
14.08.2015,Geelong,7,4:10 PM,Fourdays Of Mylife,7
14.08.2015,Geelong,7,4:10 PM,Harold Bluetooth,13
14.08.2015,Geelong,7,4:10 PM,Roycey,15
14.08.2015,Geelong,7,4:10 PM,Tides Of Fortune,1
14.08.2015,Geelong,7,4:10 PM,Vacanza Mia,11
14.08.2015,Geelong,7,4:10 PM,Oridane,5
14.08.2015,Geelong,7,4:10 PM,Parousia,9
14.08.2015,Geelong,7,4:10 PM,Kalira,6
14.08.2015,Geelong,7,4:10 PM,Lady's Taste,12
14.08.2015,Geelong,7,4:10 PM,Majestic Cheval,10
14.08.2015,Geelong,7,4:10 PM,Elusive Shine,8
14.08.2015,Geelong,7,4:10 PM,Southern Sunday,3
14.08.2015,Geelong,7,4:10 PM,Brave Spur,4
14.08.2015,Geelong,8,4:50 PM,Belflyer,5
14.08.2015,Geelong,8,4:50 PM,Surfside,10
14.08.2015,Geelong,8,4:50 PM,Just Dash On,9
14.08.2015,Geelong,8,4:50 PM,Leadfoot,15
14.08.2015,Geelong,8,4:50 PM,Street Crier,14
14.08.2015,Geelong,8,4:50 PM,Sullivan's Paddock,3
14.08.2015,Geelong,8,4:50 PM,Zumari,8
14.08.2015,Geelong,8,4:50 PM,Break The Moment,12
14.08.2015,Geelong,8,4:50 PM,Tail Risk,11
14.08.2015,Geelong,8,4:50 PM,But Perfect,1
14.08.2015,Geelong,8,4:50 PM,Shufetish,4
14.08.2015,Geelong,8,4:50 PM,Sagapuss,6
14.08.2015,Geelong,8,4:50 PM,Zupberb,2
14.08.2015,Geelong,8,4:50 PM,Lourdeaux,7
14.08.2015,Geelong,8,4:50 PM,Ziggy Martini,16
14.08.2015,Geelong,8,4:50 PM,Just A Chat,13
14.08.2015,Ipswich,1,12:20 PM,Lord Tscharke,2
14.08.2015,Ipswich,1,12:20 PM,Mr Hennessy,3
14.08.2015,Ipswich,1,12:20 PM,La Dolce Vita,8
14.08.2015,Ipswich,1,12:20 PM,Mia Madalena,1
14.08.2015,Ipswich,1,12:20 PM,Whatever Miss,4
14.08.2015,Ipswich,1,12:20 PM,Equal Luck,9
14.08.2015,Ipswich,1,12:20 PM,Island Tang,5
14.08.2015,Ipswich,1,12:20 PM,Ponty,7
14.08.2015,Ipswich,1,12:20 PM,Puder,6
14.08.2015,Ipswich,2,12:55 PM,Jaded,7
14.08.2015,Ipswich,2,12:55 PM,Reina De Hielo,4
14.08.2015,Ipswich,2,12:55 PM,Streloven,12
14.08.2015,Ipswich,2,12:55 PM,Good Gracious Mae,14
14.08.2015,Ipswich,2,12:55 PM,Life's A Picnic,9
14.08.2015,Ipswich,2,12:55 PM,Tis Mine,5
14.08.2015,Ipswich,2,12:55 PM,Pombe Belle,1
14.08.2015,Ipswich,2,12:55 PM,She's A Unit,13
14.08.2015,Ipswich,2,12:55 PM,The Greymouth Girl,3
14.08.2015,Ipswich,2,12:55 PM,Kayenta,8
14.08.2015,Ipswich,2,12:55 PM,Leila's Call,2
14.08.2015,Ipswich,2,12:55 PM,Day Lilly,10
14.08.2015,Ipswich,2,12:55 PM,Star Of Aquarius,11
14.08.2015,Ipswich,2,12:55 PM,Solitaire's Vision,6
14.08.2015,Ipswich,3,1:30 PM,All Hype,10
14.08.2015,Ipswich,3,1:30 PM,Daneberry Road,8
14.08.2015,Ipswich,3,1:30 PM,Wigglesworth,1
14.08.2015,Ipswich,3,1:30 PM,Captain's Son,14
14.08.2015,Ipswich,3,1:30 PM,Lach's Pocket,9
14.08.2015,Ipswich,3,1:30 PM,Super Kangaroo,17
14.08.2015,Ipswich,3,1:30 PM,Myboyoliver,6
14.08.2015,Ipswich,3,1:30 PM,Get Smart,7
14.08.2015,Ipswich,3,1:30 PM,Undercover Lover,18
14.08.2015,Ipswich,3,1:30 PM,Four Excel,15
14.08.2015,Ipswich,3,1:30 PM,Blue Star,11
14.08.2015,Ipswich,3,1:30 PM,Raffin Silver,12
14.08.2015,Ipswich,3,1:30 PM,Bonsea,5
14.08.2015,Ipswich,3,1:30 PM,Elizondo,4
14.08.2015,Ipswich,3,1:30 PM,Storm Anchor,3
14.08.2015,Ipswich,3,1:30 PM,Give 'Em Curry,16
14.08.2015,Ipswich,3,1:30 PM,Royal Epic,2
14.08.2015,Ipswich,3,1:30 PM,Monte Agar,13
14.08.2015,Ipswich,4,2:05 PM,Ceda Miss,6
14.08.2015,Ipswich,4,2:05 PM,Choupette,3
14.08.2015,Ipswich,4,2:05 PM,Jackson Moonwalk,8
14.08.2015,Ipswich,4,2:05 PM,Zany Lass,1
14.08.2015,Ipswich,4,2:05 PM,She Tells Lies,2
14.08.2015,Ipswich,4,2:05 PM,Spinifex Fire,9
14.08.2015,Ipswich,4,2:05 PM,High Degree,4
14.08.2015,Ipswich,4,2:05 PM,Blackjack Princess,7
14.08.2015,Ipswich,4,2:05 PM,Flying Tiger,5
